,how_many_days,date,holidays,year
0,3,30 grudnia - 1 stycznia,"Nowy Rok, Świętej Bożej Rodzicielki",2018
1,3,31 marca - 2 kwietnia,"Wielkanoc, Poniedziałek Wielkanocny",2018
2,4,28 kwietnia - 1 maja,Święto Pracy,2018
3,4,3 - 6 maja,Święto Konstytucji 3 Maja,2018
4,4,31 maja - 3 czerwca,Boże Ciało,2018
5,4,1 - 4 listopada,Wszystkich Świętych,2018
6,5,22 - 26 grudnia,"pierwszy dzień świąt, drugi dzień świąt",2018
0,4,29 grudnia - 1 stycznia,"Nowy Rok, Świętej Bożej Rodzicielki",2019
1,3,20 - 22 kwietnia,"Wielkanoc, Poniedziałek Wielkanocny",2019
2,5,1 - 5 maja,"Święto Pracy, Święto Konstytucji 3 Maja",2019
3,4,20 - 23 czerwca,Boże Ciało,2019
4,4,15 - 18 sierpnia,"Święto Wojska Polskiego, Wniebowzięcie Najświętszej Maryi Panny",2019
5,3,1 - 3 listopada,Wszystkich Świętych,2019
6,3,9 - 11 listopada,Święto Niepodległości,2019
7,5,25 - 29 grudnia,"Boże Narodzenie (pierwszy dzień), Boże Narodzenie (drugi dzień)",2019
